MWBC,STATE,COUNTY,LAKE,AREA,YEAR,DATE,AGE0CPE,AGE1CPE,AGENCY,CODE,CRNTCODE,MILESURV,SHORMILE,PERCSURV,AGE0WAE,AGE0MINL,AGE0MAXL,AGE0AVEL,AGE1WAE,AGE1MINL,AGE1MAXL,AGE1AVEL,TOTALWAE,MUE,NOP,LMB,SMB,COMMENT,TEMP,CLARITY,RELIABLE,HOURS,OLDMILES,FORMMILE,MILESRCE,SHCKABLE,ALLSURV,MONTH,DAY,WDNRTYPE,ALLSHSRV
2339900,WI,VILAS,ESCANABA L,293,1970,9/29/1970,200.9578544,NA,WDNR,NR,NR,5.22,5.22,100,1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,57,NA,,NA,5.22,5.22,,NA,Y,9,29,,
2339900,WI,VILAS,ESCANABA L,293,1970,10/5/1970,137.9310345,NA,WDNR,NR,NR,5.22,5.22,100,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,58,NA,,NA,5.22,5.22,,NA,Y,10,5,,
2339900,WI,VILAS,ESCANABA L,293,1971,9/29/1971,40.8045977,NA,WDNR,NR,NR,5.22,5.22,100,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,62,NA,,NA,5.22,5.22,,NA,Y,9,29,,
2339900,WI,VILAS,ESCANABA L,293,1971,9/30/1971,27.394636,NA,WDNR,NR,NR,5.22,5.22,100,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,62,NA,,NA,5.22,5.22,,NA,Y,9,30,,
2339900,WI,VILAS,ESCANABA L,293,1971,10/5/1971,35.440613,NA,WDNR,NR,NR,5.22,5.22,100,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,58,NA,,NA,5.22,5.22,,NA,Y,10,5,,
2339900,WI,VILAS,ESCANABA L,293,1972,9/12/1972,29.3103448,NA,WDNR,NR,NR,5.22,5.22,100,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,12,,
2339900,WI,VILAS,ESCANABA L,293,1972,9/13/1972,34.8659004,NA,WDNR,NR,NR,5.22,5.22,100,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,65,NA,,NA,5.22,5.22,,NA,Y,9,13,,
2339900,WI,VILAS,ESCANABA L,293,1972,9/27/1972,22.7969349,NA,WDNR,NR,NR,5.22,5.22,100,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,58,NA,,NA,5.22,5.22,,NA,Y,9,27,,
2339900,WI,VILAS,ESCANABA L,293,1973,9/26/1973,155.3639847,NA,WDNR,NR,NR,5.22,5.22,100,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,62,NA,,NA,5.22,5.22,,NA,Y,9,26,,
2339900,WI,VILAS,ESCANABA L,293,1973,10/3/1973,138.697318,NA,WDNR,NR,NR,5.22,5.22,100,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,64,NA,,NA,5.22,5.22,,NA,Y,10,3,,
2339900,WI,VILAS,ESCANABA L,293,1973,10/11/1973,124.9042146,NA,WDNR,NR,NR,5.22,5.22,100,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,63,NA,,NA,5.22,5.22,,NA,Y,10,11,,
2339900,WI,VILAS,ESCANABA L,293,1973,10/24/1973,93.6781609,NA,WDNR,NR,NR,5.22,5.22,100,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,57,NA,,NA,5.22,5.22,,NA,Y,10,24,,
2339900,WI,VILAS,ESCANABA L,293,1974,10/7/1974,88.5057471,NA,WDNR,NR,NR,5.22,5.22,100,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,49,NA,,NA,5.22,5.22,,NA,Y,10,7,,
2339900,WI,VILAS,ESCANABA L,293,1974,10/8/1974,63.6015326,NA,WDNR,NR,NR,5.22,5.22,100,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50,NA,,NA,5.22,5.22,,NA,Y,10,8,,
2339900,WI,VILAS,ESCANABA L,293,1974,10/14/1974,126.6283525,NA,WDNR,NR,NR,5.22,5.22,100,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,48,NA,,NA,5.22,5.22,,NA,Y,10,14,,
2339900,WI,VILAS,ESCANABA L,293,1974,10/17/1974,135.6321839,NA,WDNR,NR,NR,5.22,5.22,100,708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,47,NA,,NA,5.22,5.22,,NA,Y,10,17,,
2339900,WI,VILAS,ESCANABA L,293,1975,9/23/1975,40.9961686,NA,WDNR,NR,NR,5.22,5.22,100,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,56,NA,,NA,5.22,5.22,,NA,Y,9,23,,
2339900,WI,VILAS,ESCANABA L,293,1975,9/24/1975,42.1455939,NA,WDNR,NR,NR,5.22,5.22,100,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,57,NA,,NA,5.22,5.22,,NA,Y,9,24,,
2339900,WI,VILAS,ESCANABA L,293,1975,10/2/1975,16.8582375,NA,WDNR,NR,NR,5.22,5.22,100,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,53,NA,,NA,5.22,5.22,,NA,Y,10,2,,
2339900,WI,VILAS,ESCANABA L,293,1976,10/7/1976,73.3716475,NA,WDNR,NR,NR,5.22,5.22,100,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,49,NA,,NA,5.22,5.22,,NA,Y,10,7,,
2339900,WI,VILAS,ESCANABA L,293,1976,10/11/1976,32.9501916,NA,WDNR,NR,NR,5.22,5.22,100,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,54,NA,,NA,5.22,5.22,,NA,Y,10,11,,
2339900,WI,VILAS,ESCANABA L,293,1976,10/12/1976,44.4444444,NA,WDNR,NR,NR,5.22,5.22,100,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,54,NA,,NA,5.22,5.22,,NA,Y,10,12,,
2339900,WI,VILAS,ESCANABA L,293,1977,9/19/1977,155.1724138,NA,WDNR,NR,NR,5.22,5.22,100,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,57,NA,,NA,5.22,5.22,,NA,Y,9,19,,
2339900,WI,VILAS,ESCANABA L,293,1977,9/20/1977,238.5057471,NA,WDNR,NR,NR,5.22,5.22,100,1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,54,NA,,NA,5.22,5.22,,NA,Y,9,20,,
2339900,WI,VILAS,ESCANABA L,293,1977,9/21/1977,190.2298851,NA,WDNR,NR,NR,5.22,5.22,100,993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,59,NA,,NA,5.22,5.22,,NA,Y,9,21,,
2339900,WI,VILAS,ESCANABA L,293,1977,9/27/1977,149.4252874,NA,WDNR,NR,NR,5.22,5.22,100,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,56,NA,,NA,5.22,5.22,,NA,Y,9,27,,
